id,"ratid","annot","ts_id","session",start,end,duration,"age","sex","yearsofedu","job","imcscreening","imc1","imc2","imc3","imc4","imc5","imc6","imc7","feedback",done,N_ratings,N_aspects,imc_counter,break_start,"break_status","qual_focused","qual_effort",do_imc,screening_ok,first,rating_group
82,"rca6mlb1fn","rsr_sim1",NULL,"ca6mlb1fnroppd1kbfk282vf72",1559118030,1559121567,3537,"30","male","14","employed","correct","correct","correct","correct","correct","correct","correct","correct","",1,204,4286,0,0,"none","100","100",1,1,0,13
83,"rnbk5qgjcq","rsr_sim1",NULL,"nbk5qgjcq3th1561gang5o8hd6",1559118011,1559122304,2513,"61","female","12","employed","correct","correct","correct","correct","correct","correct","correct","correct","I like the way you had it set up to take a break, thank you for that!",1,204,4286,1,0,"none","100","100",1,1,0,10
84,"r9ffqo299o","rsr_sim1",NULL,"9ffqo299o3ddjq3fn9uc578qs7",1559118164,NULL,NULL,"24","male","12","employed","correct","correct",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,204,4286,0,0,"none",NULL,NULL,1,0,0,12
85,"r60q9ncnh5","rsr_sim1",NULL,"dpqo3ngib922h86tfjca67pf50",1559118459,1559121170,2711,"30","male","18","employed","wrong","correct","correct","correct","correct","correct","correct","correct","All the part of the study are very clear and easy to understand. And the study is very interesting to do.",1,204,4286,0,0,"none","93","87",1,1,0,4
87,"ruolte9ik0","rsr_sim1",NULL,"uolte9ik07nt54ajo7n1i1mno1",1559118585,NULL,NULL,"30","male","17","employed","correct",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,204,4286,0,0,"none",NULL,NULL,1,0,0,5
88,"rgphrkkge3","rsr_sim1",NULL,"gphrkkge30cvhl3gvflllfp4e5",1559118602,1559121353,2751,"30","male","14","employed","wrong","correct","correct","correct","correct","correct","correct","correct","",1,204,4286,0,0,"none","73","86",1,1,0,3
89,"rvlp250q76","rsr_sim1",NULL,"vlp250q76bqk27g085sd9go012",1559119514,NULL,NULL,"31","male","13","employed","correct",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,204,4286,0,0,"none",NULL,NULL,1,0,0,18
90,"rngnp35o19","rsr_sim1",NULL,"ngnp35o190v6mmsq74rljark75",1559125305,1559126724,1419,"35","female","18","employed","correct","wrong","correct","correct","correct","correct","correct","correct","nothing,good experiment.",1,204,4286,0,0,"none","100","100",1,1,0,14
91,"r47iotu8iu","rsr_sim1",NULL,"47iotu8iuusdiduiv420lpfif0",1559125329,1559126751,1422,"35","male","12","employed","correct","correct","correct","correct","correct","correct","correct","correct","the  survey very interesting",1,204,4286,0,0,"none","100","100",1,1,0,2
92,"rigtsid2c3","rsr_sim1",NULL,"igtsid2c3brrp0o7qj3e8hot41",1559125422,1559129896,441,"28","male","16","employed","correct","correct","correct","correct","correct","correct","correct","correct","",1,204,4286,6,0,"none","100","100",1,1,0,19
94,"rreibjgt5l","rsr_sim1",NULL,"reibjgt5lpcpakdtatmi0jd344",1559125623,1559127592,1969,"39","male","13","employed","correct","correct","correct","correct","correct","correct","correct","correct","It was pretty long, and there were so many attention checks, maybe 10+ throughout the whole survey",1,204,4286,0,0,"none","100","100",1,1,0,17
95,"rkbod0sj9g","rsr_sim1",NULL,"kbod0sj9gm170p7cs0lflhjl15",1559125986,1559130205,4219,"31","male","16","employed","correct","correct","correct","correct","correct","correct","correct","correct","",1,204,4286,0,0,"none","100","100",1,1,0,13
100,"rbdhnr5kfj","rsr_sim1",NULL,"bdhnr5kfj7rud6npsrh87qcdd7",1559134933,1559136829,498,"33","female","16","employed","correct","correct","correct","correct","correct","correct","correct","correct","",1,204,4286,5,0,"none","96","98",1,1,0,4
96,"re3utj2agq","rsr_sim1",NULL,"e3utj2agq6euh3lb5kv6gb3ob1",1559132744,1559137487,4743,"36","female","12","selfemployed","correct","correct","correct","correct","correct","correct","correct","correct","Everything ran smoothly.",1,204,4286,0,0,"none","100","100",1,1,0,3
97,"roqu137316","rsr_sim1",NULL,"oqu137316ktq8g7bf0u4n8ij16",1559133462,NULL,NULL,"54","male","16","employed","correct",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,204,4286,0,0,"none",NULL,NULL,1,0,0,21
98,"r7vucmtlf0","rsr_sim1",NULL,"7vucmtlf0mu8r83af4rtr45pk4",1559133687,1559136716,3029,"31","male","12","selfemployed","wrong","correct","correct","correct","correct","correct","correct","correct","",1,205,4286,0,0,"none","90","93",1,1,0,11
99,"rfjamp8ede","rsr_sim1",NULL,"fjamp8edevmrm600q1codbbhb2",1559134379,1559135041,651,"29","female","16","employed","wrong","correct","correct","correct","correct","correct","correct","correct","No",1,204,4286,0,0,"none","100","100",1,1,0,20
